geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
84265,-24.34044,-50.61888,telemaco borba,PR
49047,-10.93832,-37.07237,aracaju,SE
78175,-16.26202,-56.64511,poconé,MT
28616,-22.30166,-42.51327,nova friburgo,RJ
60533,-3.77677,-38.61924,fortaleza,CE
11680,-23.45742,-45.0805,ubatuba,SP
88704,-28.47754,-49.01017,tubarão,SC
23815,-22.87044,-43.78476,itaguai,RJ
11015,-23.93917,-46.32115,santos,SP
12444,-22.89411,-45.38316,pindamonhangaba,SP
50750,-8.06304,-34.90143,recife,PE
13024,-22.89158,-47.0561,campinas,SP
15270,-20.80693,-49.96886,macaubal,SP
35530,-20.44024,-44.77909,cláudio,MG
26585,-22.79988,-43.44058,mesquita,RJ
19050,-22.13608,-51.39707,presidente prudente,SP
65065,-2.50534,-44.22764,sao luis,MA
63122,-7.2286,-39.40091,crato,CE
89400,-26.25211,-51.08628,porto uniao,SC
52111,-8.01663,-34.89977,recife,PE
8215,-23.54305,-46.44511,sao paulo,SP
2310,-23.4741,-46.60045,sao paulo,SP
9361,-23.68907,-46.46302,maua,SP
76345,-15.02581,-49.88923,nova america,GO
9090,-23.65542,-46.54289,santo andre,SP
11900,-24.5069,-47.83982,registro,SP
36570,-20.75436,-42.89086,vicosa,MG
97200,-29.82404,-53.37277,restinga seca,RS
8760,-23.55796,-46.22637,mogi das cruzes,SP
29345,-21.04328,-40.82699,marataizes,ES
3283,-23.58838,-46.5415,sao paulo,SP
95052,-29.15792,-51.16145,caxias do sul,RS
96790,-30.35136,-51.38586,barra do ribeiro,RS
35695,-19.95643,-44.71011,igaratinga,MG
67130,-1.36723,-48.40784,ananindeua,PA
78508,-10.30854,-55.40612,nova guarita,MT
97760,-29.49284,-54.69245,jaguari,RS
8738,-23.55337,-46.19632,mogi das cruzes,SP
13218,-23.18256,-46.8082,jundiai,SP
83730,-25.67694,-49.53047,contenda,PR
89801,-27.09352,-52.60926,chapeco,SC
38411,-18.93176,-48.28977,uberlandia,MG
44790,-10.5144,-40.31999,campo formoso,BA
57035,-9.6504,-35.70372,maceio,AL
12943,-23.12726,-46.56769,atibaia,SP
88036,-27.59033,-48.52015,florianopolis,SC
60866,-3.83772,-38.52201,fortaleza,CE
79100,-20.46533,-54.6365,campo grande,MS
22790,-23.01424,-43.46185,rio de janeiro,RJ
6126,-23.55,-46.7953,osasco,SP
8240,-23.51806,-46.4385,sao paulo,SP
12321,-23.294,-45.99099,jacarei,SP
76820,-8.75599,-63.87326,porto velho,RO
83260,-25.8277,-48.53678,matinhos,PR
71910,-15.84792,-47.92381,brasilia,DF
6230,-23.52021,-46.79274,osasco,SP
20551,-22.91541,-43.24305,rio de janeiro,RJ
28800,-22.71494,-42.63381,rio bonito,RJ
38770,-17.74575,-46.17027,joão pinheiro,MG
9420,-23.71622,-46.41321,ribeirao pires,SP
17450,-22.29288,-49.54806,galia,SP
18730,-23.40891,-49.093,itai,SP
65020,-2.52855,-44.2883,são luís,MA
21073,-22.85325,-43.27094,rio de janeiro,RJ
88070,-27.59768,-48.58844,florianópolis,SC
5846,-23.65676,-46.74603,sao paulo,SP
